"POS","ALT","EDAT"
"Base",179,"Sots-15"
"Aler",190,"Sots-15"
"Pivot",202,"Sots-15"
"Pivot",198,"Sots-16"
"Base",180,"Sots-15"
"Pivot",194,"Sots-16"
"Base",180,"Sots-15"
"Aler",192,"Sots-15"
"Aler",183,"Sots-15"
"Base",186,"Sots-16"
"Base",182,"Sots-16"
"Aler",180,"Sots-16"
"Pivot",193,"Sots-15"
"Pivot",198,"Sots-16"
"Aler",192,"Sots-16"
"Aler",192,"Sots-16"
"Pivot",194,"Sots-16"
"Aler",183,"Sots-16"
"Aler",183,"Sots-16"
"Pivot",194,"Sots-15"
"Aler",189,"Sots-16"
"Pivot",199,"Sots-15"
"Pivot",193,"Sots-15"
"Aler",187,"Sots-15"
"Aler",186,"Sots-15"
"Aler",184,"Sots-15"
"Base",190,"Sots-16"
"Base",176,"Sots-15"
"Base",182,"Sots-16"
"Aler",194,"Sots-16"
"Aler",183,"Sots-15"
"Aler",184,"Sots-16"
"Aler",189,"Sots-15"
"Pivot",191,"Sots-15"
"Base",177,"Sots-16"
"Aler",182,"Sots-15"
"Aler",190,"Sots-15"
"Aler",189,"Sots-15"
"Base",182,"Sots-16"
"Base",176,"Sots-15"
"Aler",184,"Sots-15"
"Base",181,"Sots-15"
"Aler",185,"Sots-16"
"Pivot",200,"Sots-16"
"Pivot",198,"Sots-16"
"Base",183,"Sots-16"
"Aler",178,"Sots-16"
"Aler",193,"Sots-16"
"Base",185,"Sots-15"
"Pivot",197,"Sots-15"
"Pivot",190,"Sots-16"
"Base",185,"Sots-16"
"Aler",184,"Sots-15"
"Base",182,"Sots-16"
"Aler",196,"Sots-16"
"Base",176,"Sots-15"
"Aler",191,"Sots-16"
"Base",181,"Sots-15"
"Aler",190,"Sots-16"
"Aler",185,"Sots-15"
"Aler",186,"Sots-15"
"Base",183,"Sots-16"
"Aler",193,"Sots-16"
"Base",183,"Sots-15"
"Base",172,"Sots-16"
"Pivot",193,"Sots-16"
"Base",190,"Sots-16"
"Aler",184,"Sots-15"
"Aler",188,"Sots-16"
"Pivot",198,"Sots-15"
"Aler",190,"Sots-16"
"Aler",198,"Sots-15"
"Aler",186,"Sots-16"
"Aler",197,"Sots-16"
"Base",183,"Sots-15"
"Base",183,"Sots-16"
"Base",183,"Sots-15"
"Base",190,"Sots-16"
"Aler",187,"Sots-16"
"Base",181,"Sots-15"
"Pivot",195,"Sots-15"
"Aler",187,"Sots-16"
"Aler",193,"Sots-15"
"Base",185,"Sots-15"
"Aler",183,"Sots-16"
"Base",179,"Sots-15"
"Base",172,"Sots-15"
"Base",174,"Sots-15"
"Aler",191,"Sots-16"
"Base",172,"Sots-15"
"Pivot",195,"Sots-15"
"Aler",182,"Sots-15"
"Base",175,"Sots-16"
"Aler",188,"Sots-16"
"Aler",188,"Sots-16"
"Pivot",199,"Sots-15"
"Base",186,"Sots-16"
"Pivot",194,"Sots-15"
"Base",189,"Sots-16"
"Base",186,"Sots-15"
"Base",184,"Sots-16"
"Aler",194,"Sots-15"
"Aler",192,"Sots-15"
"Aler",180,"Sots-15"
"Aler",183,"Sots-15"
"Aler",179,"Sots-15"
"Aler",192,"Sots-16"
"Base",173,"Sots-15"
"Pivot",204,"Sots-15"
"Pivot",197,"Sots-15"
"Aler",182,"Sots-15"
"Aler",189,"Sots-15"
"Base",190,"Sots-16"
"Aler",187,"Sots-16"
"Pivot",197,"Sots-16"
"Base",186,"Sots-16"
"Pivot",197,"Sots-15"
"Base",184,"Sots-16"
"Base",186,"Sots-16"
"Aler",187,"Sots-16"
"Pivot",198,"Sots-16"
"Aler",180,"Sots-16"
"Aler",183,"Sots-15"
"Base",183,"Sots-15"
"Aler",192,"Sots-16"
"Aler",182,"Sots-16"
"Base",180,"Sots-15"
"Base",184,"Sots-15"
"Aler",187,"Sots-16"
"Pivot",192,"Sots-16"
"Base",182,"Sots-15"
"Base",175,"Sots-15"
"Aler",182,"Sots-15"
"Aler",186,"Sots-16"
"Pivot",203,"Sots-16"
"Aler",178,"Sots-15"
"Base",184,"Sots-16"
"Pivot",193,"Sots-16"
"Pivot",194,"Sots-16"
"Aler",180,"Sots-15"
"Aler",185,"Sots-16"
"Base",188,"Sots-16"
"Aler",187,"Sots-15"
"Pivot",198,"Sots-16"
"Base",178,"Sots-15"
"Pivot",196,"Sots-16"
"Pivot",199,"Sots-16"
"Pivot",194,"Sots-16"
"Aler",191,"Sots-16"
"Base",183,"Sots-15"
"Base",189,"Sots-16"
"Pivot",191,"Sots-16"
"Pivot",198,"Sots-16"
"Aler",189,"Sots-15"
"Pivot",192,"Sots-16"
"Aler",179,"Sots-16"
"Aler",186,"Sots-15"
"Pivot",191,"Sots-15"
"Base",184,"Sots-15"
"Aler",189,"Sots-16"
"Aler",185,"Sots-15"
"Base",180,"Sots-16"
"Aler",184,"Sots-15"
"Aler",179,"Sots-16"
"Aler",187,"Sots-15"
"Pivot",191,"Sots-16"
"Base",183,"Sots-16"
"Aler",197,"Sots-16"
"Base",175,"Sots-16"
"Pivot",195,"Sots-16"
"Aler",181,"Sots-16"
"Aler",189,"Sots-15"
"Base",178,"Sots-15"
"Aler",192,"Sots-16"
"Base",179,"Sots-16"
"Base",182,"Sots-15"
"Aler",181,"Sots-15"
"Base",177,"Sots-15"
"Aler",188,"Sots-16"
"Aler",189,"Sots-15"
"Aler",187,"Sots-15"
"Pivot",197,"Sots-16"
"Aler",184,"Sots-15"
"Base",184,"Sots-15"
"Pivot",190,"Sots-16"
"Aler",191,"Sots-16"
"Aler",183,"Sots-15"
"Base",182,"Sots-16"
"Pivot",191,"Sots-15"
"Base",182,"Sots-15"
"Pivot",193,"Sots-16"
"Base",178,"Sots-16"
"Aler",186,"Sots-16"
"Base",184,"Sots-15"
"Base",179,"Sots-15"
"Base",186,"Sots-16"
"Pivot",194,"Sots-15"
"Aler",198,"Sots-16"
"Base",185,"Sots-15"
"Base",186,"Sots-16"
"Pivot",196,"Sots-15"
"Aler",184,"Sots-16"
"Aler",186,"Sots-16"
"Aler",184,"Sots-15"
"Base",188,"Sots-16"
"Aler",188,"Sots-15"
"Aler",188,"Sots-15"
"Aler",184,"Sots-15"
"Aler",188,"Sots-16"
"Base",185,"Sots-16"
"Base",188,"Sots-16"
"Aler",187,"Sots-15"
"Aler",181,"Sots-16"
"Base",186,"Sots-15"
"Pivot",202,"Sots-16"
"Base",181,"Sots-15"
"Base",187,"Sots-15"
"Base",175,"Sots-16"
"Base",179,"Sots-16"
"Base",181,"Sots-15"
"Pivot",197,"Sots-15"
"Pivot",195,"Sots-16"
"Base",190,"Sots-16"
"Base",178,"Sots-16"
"Aler",185,"Sots-16"
"Pivot",196,"Sots-15"
"Aler",186,"Sots-15"
"Aler",192,"Sots-16"
"Pivot",193,"Sots-16"
"Aler",191,"Sots-15"
"Base",179,"Sots-15"
"Aler",181,"Sots-15"
"Aler",188,"Sots-16"
"Base",177,"Sots-15"
"Base",182,"Sots-16"
"Base",181,"Sots-15"
"Aler",187,"Sots-15"
"Base",186,"Sots-16"
"Base",181,"Sots-15"
"Pivot",196,"Sots-15"
"Base",173,"Sots-15"
"Pivot",198,"Sots-15"
"Aler",192,"Sots-16"
"Aler",197,"Sots-16"
"Pivot",197,"Sots-15"
"Aler",183,"Sots-15"
"Base",181,"Sots-16"
"Base",179,"Sots-15"
"Aler",196,"Sots-16"
"Aler",196,"Sots-16"
"Base",179,"Sots-15"
"Base",180,"Sots-15"
"Base",173,"Sots-15"
"Aler",183,"Sots-16"
"Aler",181,"Sots-15"
"Aler",183,"Sots-15"
"Base",182,"Sots-15"
"Base",175,"Sots-15"
"Aler",186,"Sots-15"
"Base",185,"Sots-16"
"Aler",183,"Sots-16"
"Aler",183,"Sots-15"
"Base",189,"Sots-16"
"Aler",188,"Sots-15"
"Aler",188,"Sots-15"
"Pivot",198,"Sots-15"
"Pivot",192,"Sots-15"
"Pivot",199,"Sots-15"
"Aler",184,"Sots-16"
"Pivot",199,"Sots-16"
"Base",186,"Sots-16"
"Base",190,"Sots-16"
"Pivot",194,"Sots-15"
"Aler",188,"Sots-15"
"Pivot",199,"Sots-16"
"Pivot",207,"Sots-16"
"Aler",175,"Sots-15"
"Aler",193,"Sots-15"
"Aler",180,"Sots-15"
"Pivot",198,"Sots-15"
"Base",177,"Sots-16"
"Base",181,"Sots-15"
"Aler",179,"Sots-16"
"Aler",181,"Sots-15"
"Aler",180,"Sots-15"
"Base",186,"Sots-16"
"Pivot",191,"Sots-16"
"Aler",183,"Sots-15"
"Base",187,"Sots-16"
"Pivot",194,"Sots-16"
"Base",186,"Sots-16"
"Aler",176,"Sots-15"
"Base",183,"Sots-16"
"Aler",193,"Sots-15"
"Pivot",199,"Sots-15"
"Aler",184,"Sots-15"
"Pivot",194,"Sots-15"
"Aler",185,"Sots-16"
"Aler",177,"Sots-16"
"Aler",182,"Sots-16"
"Base",182,"Sots-16"
"Base",182,"Sots-15"
"Base",184,"Sots-15"
"Base",169,"Sots-15"
"Aler",182,"Sots-16"
"Aler",186,"Sots-16"
"Base",184,"Sots-16"
"Base",179,"Sots-16"
"Aler",183,"Sots-16"
"Base",188,"Sots-15"
"Base",183,"Sots-15"
"Aler",179,"Sots-15"
"Base",189,"Sots-16"
"Aler",184,"Sots-15"
"Aler",187,"Sots-16"
"Pivot",207,"Sots-16"
"Base",182,"Sots-16"
"Aler",175,"Sots-15"
"Base",186,"Sots-16"
"Base",184,"Sots-15"
"Pivot",191,"Sots-16"
"Base",190,"Sots-16"
"Aler",188,"Sots-15"
"Base",185,"Sots-15"
"Base",180,"Sots-16"
"Aler",182,"Sots-15"
"Aler",188,"Sots-15"
"Pivot",198,"Sots-15"
"Pivot",194,"Sots-16"
"Pivot",192,"Sots-16"
"Base",178,"Sots-15"
"Aler",184,"Sots-16"
"Base",180,"Sots-15"
"Aler",186,"Sots-15"
"Base",187,"Sots-16"
"Base",190,"Sots-16"
"Base",181,"Sots-16"
"Base",176,"Sots-16"
"Aler",186,"Sots-16"
"Pivot",194,"Sots-15"
"Base",184,"Sots-15"
"Pivot",195,"Sots-15"
"Base",189,"Sots-16"
"Pivot",202,"Sots-16"
"Aler",188,"Sots-16"
"Aler",183,"Sots-15"
"Aler",179,"Sots-15"
"Aler",189,"Sots-15"
"Pivot",192,"Sots-15"
"Aler",188,"Sots-15"
"Aler",180,"Sots-15"
"Base",190,"Sots-16"
"Pivot",194,"Sots-16"
"Base",172,"Sots-16"
"Aler",183,"Sots-15"
"Base",189,"Sots-15"
"Base",179,"Sots-15"
"Aler",183,"Sots-15"
"Base",173,"Sots-15"
"Aler",186,"Sots-16"
"Aler",183,"Sots-16"
"Aler",189,"Sots-16"
"Aler",193,"Sots-16"
"Aler",191,"Sots-15"
"Aler",186,"Sots-15"
"Base",173,"Sots-15"
"Aler",190,"Sots-15"
"Pivot",193,"Sots-15"
"Aler",183,"Sots-15"
"Base",185,"Sots-15"
"Pivot",192,"Sots-16"
"Aler",188,"Sots-15"
"Base",185,"Sots-16"
"Aler",182,"Sots-16"
"Base",190,"Sots-16"
"Aler",180,"Sots-16"
"Aler",190,"Sots-15"
"Pivot",200,"Sots-16"
"Base",169,"Sots-15"
"Base",178,"Sots-16"
"Pivot",198,"Sots-16"
"Aler",189,"Sots-16"
"Aler",186,"Sots-16"
"Aler",186,"Sots-15"
"Base",183,"Sots-15"
"Aler",193,"Sots-15"
"Aler",184,"Sots-16"
"Base",180,"Sots-15"
"Base",177,"Sots-15"
"Aler",185,"Sots-16"
"Aler",199,"Sots-15"
"Pivot",190,"Sots-16"
"Base",183,"Sots-15"
"Pivot",191,"Sots-15"
"Base",188,"Sots-16"
"Base",185,"Sots-15"
"Pivot",196,"Sots-15"
"Aler",180,"Sots-16"
"Pivot",202,"Sots-16"
"Aler",181,"Sots-16"
"Pivot",199,"Sots-16"
"Aler",185,"Sots-16"
"Aler",187,"Sots-15"
"Aler",191,"Sots-16"
"Aler",180,"Sots-15"
"Aler",183,"Sots-16"
"Aler",195,"Sots-15"
"Base",177,"Sots-16"
"Pivot",197,"Sots-15"
"Pivot",195,"Sots-16"
"Aler",190,"Sots-15"
"Aler",194,"Sots-15"
"Base",190,"Sots-16"
"Base",179,"Sots-16"
"Aler",189,"Sots-16"
"Aler",194,"Sots-15"
"Pivot",193,"Sots-15"
"Pivot",192,"Sots-15"
"Aler",191,"Sots-16"
"Aler",187,"Sots-15"
"Aler",192,"Sots-15"
"Aler",187,"Sots-16"
